"KO Pies At the Shipyard","256 Marginal St Boston, MA 02128","4.5","$$"
"Saltie Girl","281 Dartmouth St Boston, MA 02116","4.5","$$$"
"Yvonne's","2 Winter Pl Boston, MA 02108","4.0","$$$"
"Biddy Early's","141 Pearl St Boston, MA 02110","4.5","$"
"The Brewer's Fork","7 Moulton St Boston, MA 02129","4.5","$$"
"GrandTen Distilling","383 Dorchester Ave Boston, MA 02127","5.0","$$"
"21st Amendment","150 Bowdoin Sq Boston, MA 02108","4.0","$$"
"Drink","348 Congress St Boston, MA 02228","4.0","$$$"
"Tapestry","69 Kilmarnock St Boston, MA 02215","4.5","$$"
"Ward 8","90 N Washington St Boston, MA 02113","4.0","$$"
"City Bar","61 Exeter St Boston, MA 02199","4.0","$$$"
"Bukowski Tavern","50 Dalton St Boston, MA 02115","4.0","$$"
"Barcelona Wine Bar South End","525 Tremont St Boston, MA 02116","4.5","$$"
"The Hawthorne","500A Commonwealth Ave Boston, MA 02215","4.5","$$"
"Lolita Cocina & Tequila Bar","271 Dartmouth St Boston, MA 02116","4.0","$$"
"Corner Tavern","421 Marlborough St Boston, MA 02115","4.0","$$"
"Bostonia Public House","131 State St Boston, MA 02109","4.0","$$"
"SRV Boston","569 columbus ave Boston, MA 02118","4.5","$$$"
"The Corner Pub","162 Lincoln St Boston, MA 02111","4.0","$"
"Durty Nelly's","108 Blackstone St Boston, MA 02109","4.0","$"
"Wink & Nod","3 Appleton St Boston, MA 02116","4.0","$$$"
"The Pour House","907 Boylston St Boston, MA 02115","3.5","$"
"Jm Curley","21 Temple Pl Boston, MA 02111","4.0","$$"
"Croke Park/Whitey's","268 W Broadway Boston, MA 02127","4.5","$"
"The Tip Tap Room","138 Cambridge St Boston, MA 02114","4.0","$$"
"Saus","33 Union St Boston, MA 02108","4.0","$"
"The Glenville Stops","87 Glenville Ave Boston, MA 02134","4.5","$$"
"The Lower Depths","476 Commonwealth Ave Boston, MA 02115","4.0","$$"
"Worden Hall","22 W Broadway Boston, MA 02127","4.0","$$"
"Coda","329 Columbus Ave Boston, MA 02116","4.0","$$"
"Franklin Café","278 Shawmut Ave Boston, MA 02118","4.0","$$"
"Trophy Room","26 Chandler St Boston, MA 02116","3.5","$$"
"Mr. Dooley's","77 Broad St Boston, MA 02109","4.0","$$"
"Kelley Square Pub","84 Bennington St Boston, MA 02128","4.0","$$"
"Intermission Tavern","228 Tremont St Boston, MA 02116","3.5","$$"
"Hopewell Bar & Kitchen","1277 Commonwealth Avenue Boston, MA 02134","4.5","$$"
"Silvertone","69 Bromfield St Boston, MA 02108","4.0","$$"
"Bleacher Bar","82 Lansdowne St Boston, MA 02228","4.0","$$"
"Darryl's Corner Bar & Kitchen","604 Columbus Ave Boston, MA 02118","3.5","$$"
"Lucky's Lounge","355 Congress St Boston, MA 02210","3.5","$$"
"J.J. Foley's Cafe","117 E Berkeley St Boston, MA 02118","4.0","$$"
"Menton","354 Congress St Boston, MA 02210","4.5","$$$$"
"Beacon Hill Pub","149 Charles St Boston, MA 02108","3.5","$"
"The Tam","222 Tremont St Boston, MA 02118","3.5","$"
"Committee","50 Northern Ave Boston, MA 02210","4.0","$$"
"Parla","230 Hanover St Boston, MA 02113","4.0","$$"
"Teranga","1746 Washington St Boston, MA 02118","4.0","$$"
"Gather","75 Northern Ave Boston, MA 02210","3.5","$$"
"Woody's Grill and Tap","58 Hemenway St Boston, MA 02115","4.0","$$"
"Internal Matter","35 Channel Center St Boston, MA 02210","4.5","$$"
